surface	method	host	path	class	const	evidence_file
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/inwardProducts	UNKNOWN	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/mark/pick_progress	UNKNOWN	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/markLostPicklistGroup	UNKNOWN_READLIKE	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/moveInventory	UNKNOWN	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/pick_list/preference	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
seller	GET	seller.flipkart.com	/napi/fbfLite/pick_list/shipment/pack	READ	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/pick_list/shipment/rts	UNKNOWN_READLIKE	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/picklist/allTypeCounts	UNKNOWN_READLIKE	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/print/invoice	READ_FILE		880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/print/prn	UNKNOWN		880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/recallItems	UNKNOWN	updateApi	880.857b7aea12d938747f68.js
seller	GET	seller.flipkart.com	/napi/fbfLite/recalls	READ	fetchApi	880.857b7aea12d938747f68.js
seller	GET	seller.flipkart.com	/napi/fbfLite/shipments/is_confirm	WRITE	fetchApi	880.857b7aea12d938747f68.js
seller	GET	seller.flipkart.com	/napi/fbfLite/sidelinePicklistGroup	READ	updateApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/uploadRecallFile	WRITE		880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfLite/validateIMEI	UNKNOWN	fetchApi	880.857b7aea12d938747f68.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/allocateCA	UNKNOWN		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/downloadDocument	READ_FILE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/fbfOnboarding/downloadGstinDocument	READ_FILE		9258.26178f4d4422b76c6a94.js
