code,sku,week,litres
FG0000031,MUSTARD PAKKI GHANI 1 LTR 20 PCS,1,5000.0
FG0000031,MUSTARD PAKKI GHANI 1 LTR 20 PCS,2,5000.0
FG0000031,MUSTARD PAKKI GHANI 1 LTR 20 PCS,3,5000.0
FG0000031,MUSTARD PAKKI GHANI 1 LTR 20 PCS,4,5000.0
FG0000043,COLD PRESS 3 LTR 6 PCS,1,5000.0
FG0000043,COLD PRESS 3 LTR 6 PCS,2,5000.0
FG0000043,COLD PRESS 3 LTR 6 PCS,3,5000.0
FG0000043,COLD PRESS 3 LTR 6 PCS,4,5000.0
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,1,5000.0
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,2,5000.0
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,3,5000.0
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,4,5000.0
FG0000232,SO OLIVE OIL 5 LTR 4 PCS,1,500.0
FG0000232,SO OLIVE OIL 5 LTR 4 PCS,2,500.0
FG0000232,SO OLIVE OIL 5 LTR 4 PCS,3,500.0
FG0000232,SO OLIVE OIL 5 LTR 4 PCS,4,500.0
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,1,3750.0
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,2,3750.0
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,3,3750.0
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,4,3750.0
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,1,3750.0
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,2,3750.0
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,3,3750.0
FG0000379,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,4,3750.0
FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,1,3000.0
FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,2,3000.0
FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,3,3000.0
