code,sku,plan_pieces,fg_onhand,wip,net_required,makeable_stock_only,makeable_with_po,binding_component,binding_component_name,root_binding_component,root_binding_component_name,shortfall_pieces,plan_litres_at_risk,plan_litres,litres_per_piece,makeable_litres_with_po,makeable_litres_stock_only,binding_stock_only,wip_stale_pieces,note
FG0000039,EXTRA LIGHT OLIVE 500 MLS 24 PCS,1000,354,17,629,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,629,314.5,500.0,0.5,0.0,0.0,RM0000001,17,
FG0000157,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,1000,553,0,447,0,0,PM0000415,LABEL 500 MLS EXTRA VIRGIN COCONUT FRONT,PM0000415,LABEL 500 MLS EXTRA VIRGIN COCONUT FRONT,447,223.5,500.0,0.5,0.0,0.0,PM0000415,0,
FG0000282,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,2500,1520,0,980,0,0,PM0000414,LABEL 200 MLS EXTRA VIRGIN COCONUT FRONT,PM0000414,LABEL 200 MLS EXTRA VIRGIN COCONUT FRONT,980,196.0,500.0,0.2,0.0,0.0,PM0000414,0,
FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,6000,510,0,5490,5400,5400,PM0000344,LABEL 1 LTR EXTRA VIRGIN COCONUT FRONT,PM0000344,LABEL 1 LTR EXTRA VIRGIN COCONUT FRONT,90,90.0,6000.0,1.0,5400.0,5400.0,PM0000344,0,
FG0000112,EXTRA VIRGIN OLIVE 250 MLS 4 PCS,2000,56,1920,24,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,24,6.0,500.0,0.25,0.0,0.0,RM0000001,1920,
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,100000,21898,15720,62382,62382,62382,RM0000025,SOYABEAN REFINED LOOSE OIL,RM0000025,SOYABEAN REFINED LOOSE OIL,0,0.0,100000.0,1.0,62382.0,62382.0,RM0000025,15720,
FG0000250,SOYABEAN OIL 15 KGS,4853,16,0,4837,0,4837,PM0000629,CARTON TIN TOP,PM0000629,CARTON TIN TOP,0,0.0,80000.0,16.4835,79730.7,0.0,RM0000025,0,
FG0000359,SOYABEAN OIL 750 GMS 12 PCS POUCH,50960,24770,0,26190,0,26190,RM0000025,SOYABEAN REFINED LOOSE OIL,RM0000025,SOYABEAN REFINED LOOSE OIL,0,0.0,42000.0,0.8242,21585.8,0.0,RM0000025,0,
FG0000299,SOYABEAN OIL 700 GMS POUCH 12 PCS,54600,20480,4800,29320,0,29320,RM0000025,SOYABEAN REFINED LOOSE OIL,RM0000025,SOYABEAN REFINED LOOSE OIL,0,0.0,42000.0,0.7692,22552.9,0.0,RM0000025,4800,
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,21000,11295,3536,6169,0,6169,PM0000522,LABEL 1 LTR RICE BRAN OIL FRONT,PM0000522,LABEL 1 LTR RICE BRAN OIL FRONT,0,0.0,21000.0,1.0,6169.0,0.0,PM0000522,3536,
FG0000169,REFINED COTTON SEED OIL 13 KGS,700,14,2217,0,0,0,,,,,0,0.0,10000.0,14.2857,0.0,0.0,,2217,net requirement already covered by FG + WIP
FG0000189,ZANO POMACE OLIVE 1 LTR 16 PCS,8000,1680,7200,0,0,0,,,,,0,0.0,8000.0,1.0,0.0,0.0,,7200,net requirement already covered by FG + WIP
FG0000363,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,2000,0,2030,0,0,0,,,,,0,0.0,4000.0,2.0,0.0,0.0,,2030,net requirement already covered by FG + WIP
FG0000161,EXTRA VIRGIN OLIVE 500 MLS 24 PCS,1000,36,2151,0,0,0,,,,,0,0.0,500.0,0.5,0.0,0.0,,2151,net requirement already covered by FG + WIP
FG0000400,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 1 LTR 20 PCS ( CSD ),0,15,0,0,0,0,,,,,0,0.0,0.0,1.0,0.0,0.0,,0,net requirement already covered by FG + WIP
FG0000399,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD ),0,0,0,0,0,0,,,,,0,0.0,0.0,5.0,0.0,0.0,,0,net requirement already covered by FG + WIP
FG0000154,MUSTARD OIL 100 MLS 20 PCS,0,13,53,0,0,0,,,,,0,0.0,0.0,0.1,0.0,0.0,,53,net requirement already covered by FG + WIP
