date,warehouse,sap_onhand_l,invoiced_not_dispatched_l,at_gate_l,physical_l,ceiling_l,free_l,pct_full,invoiced_not_dispatched_intercompany_l,physical_incl_intercompany_l,stale_open_bills_l,basis
2025-03-21,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-22,BH-PF,158469,0,0,158469,377000,218531,42.0,0,158469,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-22,OIL-FG-TOTAL (BH-BT+BH-PF),158469,0,0,158469,377000,218531,42.0,0,158469,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-22,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-22,BH-FG (overflow / secondary),658455,,0,658455,,,,,658455,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-22,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-23,BH-PF,158469,0,0,158469,377000,218531,42.0,0,158469,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-23,OIL-FG-TOTAL (BH-BT+BH-PF),158469,0,0,158469,377000,218531,42.0,0,158469,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-23,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-23,BH-FG (overflow / secondary),658455,,0,658455,,,,,658455,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-23,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-24,BH-PF,136188,0,0,136188,377000,240812,36.1,0,136188,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-24,OIL-FG-TOTAL (BH-BT+BH-PF),136188,0,0,136188,377000,240812,36.1,0,136188,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-24,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-24,BH-FG (overflow / secondary),572478,,0,572478,,,,,572478,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-24,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-25,BH-PF,133432,0,0,133432,377000,243568,35.4,0,133432,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-25,OIL-FG-TOTAL (BH-BT+BH-PF),133432,0,0,133432,377000,243568,35.4,0,133432,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-25,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-25,BH-FG (overflow / secondary),548379,,0,548379,,,,,548379,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-25,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-26,BH-PF,147252,0,0,147252,377000,229748,39.1,0,147252,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-26,OIL-FG-TOTAL (BH-BT+BH-PF),147252,0,0,147252,377000,229748,39.1,0,147252,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-26,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-26,BH-FG (overflow / secondary),627586,,0,627586,,,,,627586,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-26,BH-SC (overflow / secondary),539,,0,539,,,,,539,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-27,BH-PF,171986,0,0,171986,377000,205014,45.6,0,171986,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-27,OIL-FG-TOTAL (BH-BT+BH-PF),171986,0,0,171986,377000,205014,45.6,0,171986,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-27,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-27,BH-FG (overflow / secondary),646050,,0,646050,,,,,646050,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-27,BH-SC (overflow / secondary),539,,0,539,,,,,539,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-28,BH-PF,245392,0,0,245392,377000,131608,65.1,0,245392,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-28,OIL-FG-TOTAL (BH-BT+BH-PF),245392,0,0,245392,377000,131608,65.1,0,245392,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-28,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-28,BH-FG (overflow / secondary),670930,,0,670930,,,,,670930,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-28,BH-SC (overflow / secondary),539,,0,539,,,,,539,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-29,BH-PF,148315,0,0,148315,377000,228685,39.3,0,148315,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-29,OIL-FG-TOTAL (BH-BT+BH-PF),148315,0,0,148315,377000,228685,39.3,0,148315,0,SAP OnHand ONLY — no physical dispatch record exists this far back
