code,name,kind,uom,need,on_hand,on_order,cover_pct,short,at_zero,skus_blocked,litres_at_risk,value_at_risk,lead_days,first_short_day,order_by,order_basis,status,skus
PM0000369,LABEL 1 LTR MUSTARD BACK SANO,PACK,PCS,115000,135353,0,117.7,0,,0,0,0,6,,,,covered,SANO MUSTARD OIL 1 LTR 20 PCS
PM0000371,LABEL 5 LTR MUSTARD BACK SANO,PACK,PCS,400,8823,0,999.9,0,,0,0,0,6,,,,covered,SANO MUSTARD OIL 5 LTR 4 PCS
PM0000372,LABEL 5 LTR MUSTARD FRONT SANO,PACK,PCS,400,8727,0,999.9,0,,0,0,0,6,,,,covered,SANO MUSTARD OIL 5 LTR 4 PCS
PM0000385,LABEL 1 LTR POMACE BACK SANO,PACK,PCS,60000,87784,50000,229.6,0,,0,0,0,6,,,,covered,SANO POMACE OLIVE 1 LTR 16 PCS
PM0000386,LABEL 1 LTR POMACE FRONT SANO,PACK,PCS,60000,87500,50000,229.2,0,,0,0,0,6,,,,covered,SANO POMACE OLIVE 1 LTR 16 PCS
PM0000395,TIN 5 LTR POMACE OLIVE SANO,PACK,PCS,12000,245,18052,152.5,0,,0,0,0,6,,,,covered,SANO POMACE OLIVE 5 LTR TIN 4 
PM0000409,CARTON 1 LTR POMACE 16 PCS PLAIN,PACK,PCS,812,1961,0,241.4,0,,0,0,0,6,,,,covered,ZANO EXTRA VIRGIN OLIVE1 LTR 1;ZANO POMACE OLIVE 1 LTR 16 PCS
PM0000415,LABEL 500 MLS EXTRA VIRGIN COCONUT FRONT,PACK,PCS,1000,1177,0,117.7,0,,0,0,0,6,,,,covered,EXTRA VIRGIN COCONUT OIL 500 M
PM0000416,LABEL 500 MLS EXTRA VIRGIN COCONUT BACK,PACK,PCS,1000,1177,0,117.7,0,,0,0,0,6,,,,covered,EXTRA VIRGIN COCONUT OIL 500 M
PM0000417,LABEL 2 LTR EXTRA VIRGIN OLIVE OIL FRONT,PACK,PCS,1000,527,3500,402.7,0,,0,0,0,6,,,,covered,EXTRA VIRGIN 2 LTR 10 PCS HAND
PM0000418,LABEL 2 LTR EXTRA VIRGIN OLIVE OIL BACK,PACK,PCS,1000,1027,3500,452.7,0,,0,0,0,6,,,,covered,EXTRA VIRGIN 2 LTR 10 PCS HAND
PM0000427,LABEL 5 LTR GROUNDNUT FRONT,PACK,PCS,20000,32791,0,164.0,0,,0,0,0,6,,,,covered,COLD PRESS GROUNDNUT OIL 5 LTR
PM0000428,LABEL 5 LTR GROUNDNUT BACK,PACK,PCS,20000,33276,0,166.4,0,,0,0,0,6,,,,covered,COLD PRESS GROUNDNUT OIL 5 LTR
PM0000430,LABEL 15 LTR REFINED COTTON SEED,PACK,PCS,533,3070,0,576.0,0,,0,0,0,6,,,,covered,REFINED COTTON SEED OIL 15 LTR
PM0000468,CAPS 5 LTR GREEN,PACK,PCS,56867,35614,135210,300.4,0,,0,0,0,6,,,,covered,COLD PRESS 3 LTR 6 PCS;COLD PRESS 5 LTR 4 PCS;RICE BRAN OIL 5 LTR 4 PCS
PM0000469,CAPS 5 LTR BROWN,PACK,PCS,72000,16147,129575,202.4,0,,0,0,0,6,,,,covered,COLD PRESS GROUNDNUT OIL 5 LTR;JIVO GOLD 5 LTR 4 PCS;MUSTARD KACCHI GHANI 5 LTR 4 P
PM0000470,CAPS 5 LTR ORANGE,PACK,PCS,24400,4323,34760,160.2,0,,0,0,0,6,,,,covered,COLD PRESS SUNFLOWER 5 LTR 4 P;MUSTARD PAKKI GHANI 5 LTR 4 PC
PM0000471,CAPS 5 LTR BLUE,PACK,PCS,6000,7725,26855,576.3,0,,0,0,0,6,,,,covered,SOYABEAN OIL 5 LTR 4 PCS
PM0000499,LABEL 1 LTR EXTRA VIRGIN FRONT ZANO,PACK,PCS,3000,3150,0,105.0,0,,0,0,0,6,,,,covered,ZANO EXTRA VIRGIN OLIVE1 LTR 1
