code,name,kind,open_qty_aug01,uom,vendor,ordered_on,due_on,at_gate_qty,lead_median_d,lead_p90_d,orders_sampled,typical_order_qty,row_type,credibility,po_num,po_age_days_at_aug01,lead_median_full_d,lead_source,min_order_qty_seen,canonical_code,warehouse,note
RM0000025,SOYABEAN REFINED LOOSE OIL,OIL,92307.6,LTR,BD EDIBLE OILS PVT LTD,2026-01-05,2026-01-05,0,13,22,137,45505.4,OPEN_PO,STALE_DEAD,126226514,208,13,ITEM,656.04,RM0000025,BH-GJ,
RM0000025,SOYABEAN REFINED LOOSE OIL,OIL,92307.6,LTR,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,2026-01-05,2026-01-05,0,13,22,137,45505.4,OPEN_PO,STALE_DEAD,126226556,208,13,ITEM,656.04,RM0000025,BH-GJ,
RM0000025,SOYABEAN REFINED LOOSE OIL,OIL,92307.6,LTR,DIL EXIM COMMODITIES PRIVATE LIMITED,2026-01-05,2026-01-05,0,13,22,137,45505.4,OPEN_PO,STALE_DEAD,126226557,208,13,ITEM,656.04,RM0000025,BH-GJ,
RM0000066,PEANUT OIL,OIL,92307.6,LTR,DHANLAXMI EDIBLES PRIVATE LIMITED,2026-07-24,2026-07-24,0,7.5,11,12,45373.6,OPEN_PO,LIVE,220726110,8,7.5,ITEM,32857.11,RM0000011,BH-GJ,
RM0000025,SOYABEAN REFINED LOOSE OIL,OIL,87912.0,LTR,DIL EXIM COMMODITIES PRIVATE LIMITED,2026-02-03,2026-02-03,0,13,22,137,45505.4,OPEN_PO,STALE_DEAD,226226506,179,13,ITEM,656.04,RM0000025,BH-GJ,
PM0000125,PET BOTTLE 500 MLS 34 GMS,BOTTLE,87760.0,PCS,TPAC PACKAGING INDIA PVT LTD II,2026-07-01,2026-07-01,0,8.0,9,2,100000.0,OPEN_PO,LIVE,220726021,31,14.0,ITEM,100000.0,PM0000125,BH-PM,
PM0000851,PET BOTTLE 1 LTR 26 GM,BOTTLE,85816.0,PCS,BR AGROTECH LTD,2026-06-04,2026-06-04,0,12,17,9,129255.0,OPEN_PO,LIVE,220626022,58,15,ITEM,11856.0,PM0000851,BH-PM,
PM0000059,CAPS 1 & 2 LTR WHITE AND ORANGE WITH LOGO,CAP,80000.0,PCS,MAHESHWARI CAPS PVT LTD,2024-11-04,2024-11-04,0,29,29,1,,OPEN_PO,STALE_DEAD,1124226501,635,29,ITEM,,PM0000059,BH-PM,
PM0000864,LABEL 1 LTR CANOLA FRONT (NIRMAL RISHI),LABEL,80000.0,PCS,ROYAL PRIME LABELS,2026-06-03,2026-06-03,0,5.0,42,4,72500.0,OPEN_PO,LIVE,220626023,59,5.0,ITEM,50000.0,PM0000864,BH-PM,
PM0000020,LABEL 1 LTR KACHCHI GHANI FRONT,LABEL,79400.0,PCS,THE LABEL STORE AFOPC8295E,2025-05-24,2025-05-24,0,6.5,10,8,200000.0,OPEN_PO,STALE_DEAD,525226627,434,8.0,ITEM,100000.0,PM0000020,BH-PM,
