item,item_code,rate_type,rate,currency,unit,as_of,source_endpoint
SOYA 15 Kg Tin,,jivo_sell_pack,2610.0000,INR,per pack (15 Kg Tin),2026-08-28,GET /jivo-rate/range/
SOYA 15 Ltr Tin,,jivo_sell_pack,2376.0000,INR,per pack (15 Ltr Tin),2026-08-28,GET /jivo-rate/range/
SOYA Bottle 1 Ltr,,jivo_sell_pack,158.0000,INR,per pack (Bottle 1 Ltr),2026-08-28,GET /jivo-rate/range/
SOYA Pouch 1 Ltr,,jivo_sell_pack,154.0000,INR,per pack (Pouch 1 Ltr),2026-08-28,GET /jivo-rate/range/
SOYA Pouch 700 Gm,,jivo_sell_pack,119.0000,INR,per pack (Pouch 700 Gm),2026-08-28,GET /jivo-rate/range/
SOYA Pouch 750 Gm,,jivo_sell_pack,127.0000,INR,per pack (Pouch 750 Gm),2026-08-28,GET /jivo-rate/range/
Sunflower 13 Kg Tin,,jivo_sell_pack,2700.0000,INR,per pack (13 Kg Tin),2026-08-28,GET /jivo-rate/range/
Sunflower 15 Kg Tin,,jivo_sell_pack,3115.0000,INR,per pack (15 Kg Tin),2026-08-28,GET /jivo-rate/range/
Sunflower 15 Ltr Tin,,jivo_sell_pack,2834.0000,INR,per pack (15 Ltr Tin),2026-08-28,GET /jivo-rate/range/
Sunflower Bottle 1 Ltr,,jivo_sell_pack,189.0000,INR,per pack (Bottle 1 Ltr),2026-08-28,GET /jivo-rate/range/
Sunflower Pouch 1 Ltr,,jivo_sell_pack,185.0000,INR,per pack (Pouch 1 Ltr),2026-08-28,GET /jivo-rate/range/
commodity_id=1,,marketrate_table_factory,147.4000,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
commodity_id=2,,marketrate_table_factory,147.3000,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
commodity_id=3,,marketrate_table_factory,147.2800,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
commodity_id=4,,marketrate_table_factory,142.2800,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
commodity_id=5,,marketrate_table_factory,161.4800,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
commodity_id=6,,marketrate_table_factory,152.2800,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
commodity_id=7,,marketrate_table_factory,167.5000,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
commodity_id=8,,marketrate_table_factory,165.0000,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
commodity_id=9,,marketrate_table_factory,171.5000,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
commodity_id=10,,marketrate_table_factory,160.0000,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
commodity_id=11,,marketrate_table_factory,170.5000,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
commodity_id=12,,marketrate_table_factory,169.1000,INR,per KG,2026-07-18,GET /rates/market-rate/latest/ [STALE]
Soya Refined Pouch 1 Ltr,,basic_rate_pack,145.8700,INR,per pack (Pouch 1 Ltr),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Ricebran Refined Pouch 1 Ltr,,basic_rate_pack,149.4900,INR,per pack (Pouch 1 Ltr),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Mustard Refined Pouch 1 Ltr,,basic_rate_pack,166.0800,INR,per pack (Pouch 1 Ltr),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Soya Refined Pouch 750 Gm,,basic_rate_pack,120.2300,INR,per pack (Pouch 750 Gm),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Soya Refined Pouch 700 Gm,,basic_rate_pack,112.2100,INR,per pack (Pouch 700 Gm),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Soya Refined Bottle 1 Ltr,,basic_rate_pack,149.5100,INR,per pack (Bottle 1 Ltr),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Ricebran Refined Bottle 1 Ltr,,basic_rate_pack,153.1300,INR,per pack (Bottle 1 Ltr),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Mustard Refined Bottle 1 Ltr,,basic_rate_pack,169.7200,INR,per pack (Bottle 1 Ltr),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Soya Refined 15 Ltr Tin,,basic_rate_pack,2242.7000,INR,per pack (15 Ltr Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Cottonseed Refined 15 Ltr Tin,,basic_rate_pack,2422.6000,INR,per pack (15 Ltr Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Ricebran Refined 15 Ltr Tin,,basic_rate_pack,2297.0200,INR,per pack (15 Ltr Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
Mustard Refined 15 Ltr Tin,,basic_rate_pack,2545.7300,INR,per pack (15 Ltr Tin),2026-07-18,GET /rates/rate-table/latest/ [STALE]
