group_id,product_group,subgroup_id,sub_group,skus
141,Personal Care,722,Shave Gel,16
141,Personal Care,723,Shaving Gel,14
141,Personal Care,896,Shaving Razor,19
141,Personal Care,732,Shower Gel,34
141,Personal Care,747,Soap,2
141,Personal Care,754,Spf,17
141,Personal Care,770,Sun Control Cream,6
141,Personal Care,803,Tooth Brush,107
141,Personal Care,807,Tooth Paste,193
141,Personal Care,805,Toothbruh Inactive,0
141,Personal Care,806,Toothbrush Inactive,0
141,Personal Care,808,Toothpest Inactive,1
141,Personal Care,846,Wipes,23
142,Pulses,253,Arhar,14
142,Pulses,297,Black Chana,1
142,Pulses,352,Chana,22
142,Pulses,353,Chana Black,7
142,Pulses,1086,Channa,1
142,Pulses,533,Kabuli Chana,3
142,Pulses,565,Lobia,5
142,Pulses,580,Masoor,5
142,Pulses,581,Masoor Malka,7
142,Pulses,613,Mung,15
142,Pulses,686,Rajma,8
142,Pulses,825,Urad,9
142,Pulses,826,Urad Sabat,10
190,Raw Material,1040,Bom Consumable,149
143,Rice & Other Grains,882,Ararot,2
143,Rice & Other Grains,272,Bamati Rice,2
143,Rice & Other Grains,277,Basmati Rice,25
143,Rice & Other Grains,409,Daliya,7
143,Rice & Other Grains,465,Fried Rice,0
143,Rice & Other Grains,614,Murmura,6
143,Rice & Other Grains,998,Oats,22
143,Rice & Other Grains,1032,Pasta,15
143,Rice & Other Grains,670,Poha,11
143,Rice & Other Grains,681,Pulses & Lenitils,30
143,Rice & Other Grains,694,Rice,35
143,Rice & Other Grains,700,Sabu Dana,2
143,Rice & Other Grains,701,Saffron Rice,0
143,Rice & Other Grains,714,Sauth,2
143,Rice & Other Grains,790,Til,7
144,Salt & Sugar,495,Gud,14
144,Salt & Sugar,597,Mishri,2
144,Salt & Sugar,598,Misri,0
144,Salt & Sugar,704,Sakkar,4
144,Salt & Sugar,705,Salt,29
144,Salt & Sugar,741,Slat,0
144,Salt & Sugar,767,Sugar,25
173,Sandwiches,907,Butter Slice,1
173,Sandwiches,908,Butter Toast,7
173,Sandwiches,912,Cheese Grilled Sandwich,1
173,Sandwiches,931,Grillrd Sandwich,3
173,Sandwiches,941,Malai Grillrd Sandwich,1
173,Sandwiches,978,Sandwich,17
174,Shakes,981,Shake,41
174,Shakes,984,Smoothies,12
175,Snacks & Breakfast,904,Bread Pakora,1
175,Snacks & Breakfast,905,Bread Pizza,13
175,Snacks & Breakfast,919,Cutlet,1
175,Snacks & Breakfast,924,Franch Fries,5
175,Snacks & Breakfast,949,Mix Pakora,2
175,Snacks & Breakfast,958,Paneer Pakora,1
175,Snacks & Breakfast,965,Pastrie Chocolate,1
175,Snacks & Breakfast,983,Smileys,4
175,Snacks & Breakfast,993,Veg Fried Rice,2
145,Soft Drinks,595,Mineral Water,17
145,Soft Drinks,1044,Packed Juice,274
176,Soups,751,Soup,9
177,South Indian,944,Masala Dosa,1
177,South Indian,967,Plain Dosa,1
177,South Indian,976,Sambar Idli,1
177,South Indian,1069,Vadda Sambar,1
146,Spices,245,Ajwain,9
146,Spices,247,Amchoor,5
146,Spices,298,Black Paper,8
146,Spices,358,Chilli,4
146,Spices,365,Chutney,3
146,Spices,403,Custurd,7
146,Spices,407,Daalchini,1
146,Spices,414,Dhania,8
146,Spices,415,Dhokla,3
146,Spices,440,Elaichi,17
146,Spices,461,Food Component,8
146,Spices,477,Ginger Paste,6
146,Spices,510,Hing,5
146,Spices,519,Imli,7
146,Spices,539,Kesar,1
146,Spices,540,Kesari,1
146,Spices,568,Long,4
