WHS	ITEMCODE	ITEMNAME	GRP	ONHAND_NOW	MOVE_SINCE_0801	PCS_OPEN_0801
BH-PF	FG0000114	POMACE OLIVE 2 LTR 10 PCS HANDLE	102	0.000000	-240.000000	240.000000
BH-PF	FG0000116	EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS	102	0.000000	-510.000000	510.000000
BH-PF	FG0000128	JIVO GOLD 5 LTR 4 PCS	102	720.000000	419.000000	301.000000
BH-PF	FG0000133	COLD PRESSED SUNFLOWER OIL 2 LTR 10 PCS HANDLE	102	0.000000	-40.000000	40.000000
BH-PF	FG0000134	SANO CANOLA OIL 1 LTR 20 PCS	102	0.000000	-93.000000	93.000000
BH-PF	FG0000136	SANO MUSTARD OIL 1 LTR 20 PCS	102	0.000000	-9260.000000	9260.000000
BH-PF	FG0000137	SANO MUSTARD OIL 5 LTR 4 PCS	102	0.000000	-7.000000	7.000000
BH-PF	FG0000140	SANO SOYABEAN OIL 1 LTR 20 PCS	102	0.000000	-40.000000	40.000000
BH-PF	FG0000141	SANO SOYABEAN OIL 5 LTR 4 PCS	102	0.000000	-11.000000	11.000000
BH-PF	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	102	4255.000000	3263.000000	992.000000
BH-PF	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	102	1132.000000	742.000000	390.000000
BH-PF	FG0000145	COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS	102	0.000000	-44.000000	44.000000
BH-PF	FG0000149	JIVO GOLD 1 LTR 20 PCS	102	0.000000	-5.000000	5.000000
BH-PF	FG0000150	SANO POMACE OLIVE 1 LTR 16 PCS	102	0.000000	-2324.000000	2324.000000
BH-PF	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	102	2476.000000	1817.000000	659.000000
BH-PF	FG0000154	MUSTARD OIL 100 MLS 20 PCS(CSD)	102	0.000000	-1.000000	1.000000
BH-PF	FG0000155	EXTRA VIRGIN 2 LTR 10 PCS HANDLE	102	0.000000	-290.000000	290.000000
BH-PF	FG0000157	EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS	102	0.000000	-553.000000	553.000000
BH-PF	FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	102	0.000000	-13.000000	13.000000
BH-PF	FG0000169	REFINED COTTON SEED OIL 13 KGS	102	0.000000	-11.000000	11.000000
BH-PF	FG0000175	COLD PRESS 1 LTR +1 LTR COMBO 12 SET	102	0.000000	-147.000000	147.000000
BH-PF	FG0000178	MUSTARD KACHI GHANI 15 KGS	102	200.000000	-461.000000	661.000000
BH-PF	FG0000189	ZANO POMACE OLIVE 1 LTR 16 PCS	102	0.000000	-3.000000	3.000000
BH-PF	FG0000191	SOYABEAN OIL 15 LTR	102	0.000000	-1.000000	1.000000
BH-PF	FG0000192	SOYABEAN OIL 5 LTR 4 PCS	102	0.000000	-39.000000	39.000000
BH-PF	FG0000193	SOYABEAN OIL 1 LTR 20 PCS	102	0.000000	-101.000000	101.000000
BH-PF	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	102	34639.000000	12830.000000	21809.000000
BH-PF	FG0000226	RICE BRAN OIL 5 LTR 4 PCS	102	0.000000	-343.000000	343.000000
BH-PF	FG0000227	RICE BRAN OIL 1 LTR 16 PCS	102	0.000000	-5440.000000	5440.000000
BH-PF	FG0000228	SO OLIVE OIL 1 LTR 16 PCS	102	0.000000	-806.000000	806.000000
BH-PF	FG0000232	SO OLIVE OIL 5 LTR 4 PCS	102	0.000000	-75.000000	75.000000
BH-PF	FG0000242	SANO SUNFLOWER OIL 869 GMS 20 PCS	102	0.000000	-1.000000	1.000000
BH-PF	FG0000264	EXTRA LIGHT 1 LTR 1 PCS + POMACE OLIVE 1 LTR 2 PCS ( 1 SET )	102	0.000000	-12.000000	12.000000
BH-PF	FG0000267	COLD PRESS SUNFLOWER 5 LTR 1 PCS ( 1 SET )	102	0.000000	-7.000000	7.000000
BH-PF	FG0000268	COLD PRESS SUNFLOWER 5 LTR 2 PCS ( 1 SET )	102	0.000000	-0.500000	0.500000
BH-PF	FG0000275	COLD PRESS SUNFLOWER OIL 15 LTR	102	1356.000000	508.000000	848.000000
BH-PF	FG0000282	EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS	102	0.000000	0.000000	0.000000
BH-PF	FG0000295	MUSTARD KACHI GHANI 4 LTR 5 PCS	102	0.000000	-265.000000	265.000000
BH-PF	FG0000297	SOYABEAN OIL 13 KGS TIN IMPORTED PCS	102	0.000000	0.000000	0.000000
BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	102	260.000000	-19630.000000	19890.000000
BH-PF	FG0000305	JAITOON OIL 5 LTR 4 PCS	102	0.000000	-1.000000	1.000000
BH-PF	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	102	3600.000000	2847.000000	753.000000
BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	102	98.000000	69.000000	29.000000
BH-PF	FG0000318	KIRPA DESI GHEE 1 LTR 12 PCS	102	0.000000	-152.000000	152.000000
BH-PF	FG0000319	KIRPA DESI GHEE 500 MLS 16 PCS	102	0.000000	-25.000000	25.000000
BH-PF	FG0000320	YELLOW MUSTARD OIL 1 LTR 16 PCS	102	2240.000000	2239.000000	1.000000
