whs,code,name,grp,onhand_now,move,pcs,lpc,how,litres
BH-PF,FG0000322,LE CHEF POMACE  1 LTR 16 PCS,102,0.0,-432.0,432.0,1.0,ltr in name,432.0
BH-PF,FG0000316,SOYABEAN OIL 13 KGS (B),102,98.0,69.0,29.0,14.285714285714286,13kg @910g/L,414.28571428571433
BH-PF,FG0000232,SO OLIVE OIL 5 LTR 4 PCS,102,0.0,-75.0,75.0,5.0,ltr in name,375.0
BH-PF,FG0000434,EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 8 SET,102,0.0,-152.0,152.0,2.0,combo 1+1 L,304.0
BH-PF,FG0000175,COLD PRESS 1 LTR +1 LTR COMBO 12 SET,102,0.0,-147.0,147.0,2.0,combo 1+1 L,294.0
BH-PF,FG0000454,COLD PRESS GROUNDNUT 500 MLS 24 PCS,102,0.0,-576.0,576.0,0.5,ml in name,288.0
BH-PF,FG0000157,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,102,0.0,-553.0,553.0,0.5,ml in name,276.5
BH-PF,FG0000145,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS,102,0.0,-44.0,44.0,6.0,combo 5+1 L,264.0
BH-PF,FG0000407,COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,102,0.0,-256.0,256.0,1.0,ltr in name,256.0
BH-PF,FG0000370,EXTRA LIGHT OLIVE 3 LTR TIN 2 PCS,102,0.0,-81.0,81.0,3.0,ltr in name,243.0
BH-PF,FG0000064,EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE,102,0.0,-108.0,108.0,2.0,ltr in name,216.0
BH-PF,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,102,14320.0,14120.0,200.0,1.0,ltr in name,200.0
BH-PF,FG0000192,SOYABEAN OIL 5 LTR 4 PCS,102,0.0,-39.0,39.0,5.0,ltr in name,195.0
BH-PF,FG0000069,COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED PLAIN,102,0.0,-31.0,31.0,6.0,combo 5+1 L,186.0
BH-PF,FB0000011,POMACE OLIVE OIL 1 + 1 LTR,102,0.0,-160.0,160.0,1.0,ltr in name,160.0
BH-PF,FG0000169,REFINED COTTON SEED OIL 13 KGS,102,0.0,-11.0,11.0,14.285714285714286,13kg @910g/L,157.14285714285714
BH-PF,FG0000318,KIRPA DESI GHEE 1 LTR 12 PCS,102,0.0,-152.0,152.0,1.0,ltr in name,152.0
BH-PF,FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,102,7376.0,7257.0,119.0,1.0,ltr in name,119.0
BH-PF,FG0000193,SOYABEAN OIL 1 LTR 20 PCS,102,0.0,-101.0,101.0,1.0,ltr in name,101.0
BH-PF,FG0000134,SANO CANOLA OIL 1 LTR 20 PCS,102,0.0,-93.0,93.0,1.0,ltr in name,93.0
BH-PF,FG0000133,COLD PRESSED SUNFLOWER OIL 2 LTR 10 PCS HANDLE,102,0.0,-40.0,40.0,2.0,ltr in name,80.0
BH-PF,FG0000021,REFINED OIL 1 LTR POUCH 12 PCS,102,5820.0,5745.0,75.0,1.0,ltr in name,75.0
BH-PF,FG0000383,REFINED OIL 13 KG,102,1.0,-4.0,5.0,14.285714285714286,13kg @910g/L,71.42857142857143
BH-PF,FG0000105,EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD),102,0.0,-265.0,265.0,0.25,ml in name,66.25
BH-PF,FG0000054,COLD PRESS 4 LTR + EXTRA LIGHT OLIVE 1 LTR 5 PCS,102,0.0,-13.0,13.0,5.0,combo 4+1 L,65.0
