WHS	ITEMCODE	ITEMNAME	ONHAND
BH-BT	FG0000010	MUSTARD KACCHI GHANI 1 LTR 16 PCS	0.000000
BH-BT	FG0000017	REFINED 200 LTR 1 PCS	0.000000
BH-BT	FG0000019	REFINED OIL 5 LTR 4 PCS	0.000000
BH-BT	FG0000025	COLD PRESS 5 LTR + COLD PRESS LTR SHRINKED 1 PCS	0.000000
BH-BT	FG0000026	MUSTARD KACCHI GHANI 15 LTR	0.000000
BH-BT	FG0000027	POMACE OLIVE 5 LTR 1 PCS	0.000000
BH-BT	FG0000034	EXTRA LIGHT OLIVE 200 LTR 1 PCS	0.000000
BH-BT	FG0000036	DESI GHEE A2 COW 750 MLS 12 PCS	0.000000
BH-BT	FG0000037	COLD PRESS 1 LTR +1 LTR COMBO 1 SET	0.000000
BH-BT	FG0000040	EXTRA LIGHT OLIVE 1 LTR + 1 LTR COMBO 8 SET PLAIN	0.000000
BH-BT	FG0000041	EXTRA VIRGIN OLIVE GLASS BOTTLE 500 MLS 12 PCS	0.000000
BH-BT	FG0000044	POMACE OLIVE TIN 15 LTR	0.000000
BH-BT	FG0000046	GIFT PACK EXTRA VIRGIN OLIVE 750 MLS 3 BOTTLES	0.000000
BH-BT	FG0000048	COLD PRESS 100 MLS 24 PCS	0.000000
BH-BT	FG0000049	SOYABEAN OIL 200 LTR 1 PCS	0.000000
BH-BT	FG0000050	COLD PRESS 5 LTR 3 PCS + ORGANIC RICE 1 KGS SHRINKED	0.000000
BH-BT	FG0000056	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 1 PCS SHRINKED	0.000000
BH-BT	FG0000057	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 500 MLS 4 PCS	0.000000
BH-BT	FG0000058	COLD PRESS 5 LTR 5 PCS	0.000000
BH-BT	FG0000059	COLD PRESS SUNFLOWER 5 LTR 1 PCS	0.000000
BH-BT	FG0000060	CANOLA OIL VEDAKA 5 LTR 4 PCS	0.000000
BH-BT	FG0000061	EXTRA LIGHT OLIVE 5 LTR 1 PCS THERMOCOL	0.000000
BH-BT	FG0000062	POMACE OLIVE 5 LTR 1 PCS THERMOCOL	0.000000
BH-BT	FG0000063	COLD PRESS 1 LTR +1 LTR COMBO 10 SET + 125 GMS CHOCOS SHRINKED	0.000000
BH-BT	FG0000065	CANOLA GOLD 5 LTR 4 PCS	0.000000
BH-BT	FG0000066	CANOLA GOLD 1 LTR 20 PCS	0.000000
BH-BT	FG0000067	MUSTARD KACCHI GHANI 3 LTR 6 PCS	0.000000
BH-BT	FG0000068	CANOLA GOLD 15 LTR	0.000000
BH-BT	FG0000071	EXTRA VIRGIN OLIVE 1 LTR 1 PCS	0.000000
BH-BT	FG0000072	MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 1 SET	0.000000
BH-BT	FG0000073	MUSTARD KACCHI GHANI 5 LTR 1 PCS	0.000000
BH-BT	FG0000075	EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 1 SET	0.000000
BH-BT	FG0000076	EXTRA LIGHT OLIVE 1 LTR 1 PCS	0.000000
BH-BT	FG0000077	COLD PRESS 1 LTR 1 PCS	0.000000
BH-BT	FG0000078	POMACE OLIVE 1 LTR 1 PCS	0.000000
BH-BT	FG0000079	EXTRA LIGHT OLIVE 1 LTR 1 PCS + MUSTARD KACHI GHANI 1 LTR 1 PCS	0.000000
BH-BT	FG0000080	EXTRA LIGHT OLIVE 1 LTR 1 PCS + 1 LTR COMBO + MINIATURE 100 MLS 1 PCS	0.000000
BH-BT	FG0000084	EXTRA LIGHT OLIVE 1 LTR 16 PCS + 1 KGS ORGANIC RICE	0.000000
BH-BT	FG0000085	COLD PRESS SOYABEAN 5 LTR 4 PCS	0.000000
BH-BT	FG0000087	COLD PRESS 5 LTR + 500 MLS EXTRA LIGHT OLIVE 5 PCS	0.000000
BH-BT	FG0000089	POMACE OLIVE 1 LTR + 1 LTR COMBO 8 SET PLAIN	0.000000
BH-BT	FG0000090	MUSTARD KACCHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN	0.000000
BH-BT	FG0000091	COLD PRESS SUNFLOWER 1 LTR +1 LTR COMBO 10 SET PLAIN	0.000000
BH-BT	FG0000092	EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 8 SET PLAIN	0.000000
BH-BT	FG0000093	CHIA SEEDS 500 GMS 1 POUCH	0.000000
BH-BT	FG0000094	SUNFLOWER SEEDS 500 GMS 1 PCS	0.000000
BH-BT	FG0000095	PUMPKIN SEEDS 500 GMS 1 POUCH	0.000000
BH-BT	FG0000096	FLAX SEEDS 500 GMS 1 POUCH	0.000000
BH-BT	FG0000097	BASIL SEEDS 500 GMS 1 POUCH	0.000000
BH-BT	FG0000098	CHIA SEEDS 250 GMS 1 POUCH	0.000000
BH-BT	FG0000135	SANO CANOLA OIL 5 LTR 4 PCS	0.000000
